iso,cou,lat,lon
MAR,Morocco,32,-5
ABW,Aruba,12.5,-69.9667
AFG,Afghanistan,33,65
AGO,Angola,-12.5,18.5
AIA,Anguilla,18.25,-63.1667
ALB,Albania,41,20
AND,Andorra,42.5,1.5
ANT,NetherlandsAntilles,12.226079,-69.060087
ARE,United Arab Emirates,24,54
ARG,Argentina,-34,-64
ARM,Armenia,40,45
ATG,Antigua and Barbuda,17.05,-61.8
AUS,Australia,-27,133
AUT,Austria,47.3333,13.3333
AZE,Azerbaijan,40.5,47.5
BDI,Burundi,-3.5,30
BEL,Belgium,50.8333,4
BEN,Benin,9.5,2.25
BFA,Burkina Faso,13,-2
BGD,Bangladesh,24,90
BGR,Bulgaria,43,25
BHR,Bahrain,26,50.55
BHS,Bahamas,24.25,-76
BIH,Bosnia and Herzegovina,44,18
BLR,Belarus,53,28
BLZ,Belize,17.25,-88.75
BMU,Bermuda,32.3333,-64.75
BOL,Bolivia. Plurinational State of,-17,-65
BRA,Brazil,-10,-55
BRB,Barbados,13.1667,-59.5333
BRN,Brunei Darussalam,4.5,114.6667
BTN,Bhutan,27.5,90.5
BWA,Botswana,-22,24
CAF,Central African Republic,7,21
CAN,Canada,60,-95
CHE,Switzerland,47,8
CHL,Chile,-30,-71
CHN,China,35,105
CIV,Côte d'Ivoire,8,-5
CMR,Cameroon,6,12
COD,Congo. the Democratic Republic of the,-4.3103947,15.3716684
COG,Congo,-1,15
COK,Cook Islands,-21.2333,-159.7667
COL,Colombia,4,-72
COM,Comoros,-12.1667,44.25
CPV,Cape Verde,16,-24
CRI,Costa Rica,10,-84
CUB,Cuba,21.5,-80
CYM,Cayman Islands,19.5,-80.5
CYP,Cyprus,35,33
CZE,Czech Republic,49.75,15.5
DEU,Germany,51,9
DJI,Djibouti,11.5,43
DMA,Dominica,15.4167,-61.3333
DNK,Denmark,56,10
DOM,Dominican Republic,19,-70.6667
DZA,Algeria,28,3
ECU,Ecuador,-2,-77.5
EGY,Egypt,27,30
ESP,Spain,40,-4
EST,Estonia,59,26
ETH,Ethiopia,8,38
FIN,Finland,64,26
FJI,Fiji,-18,175
FRA,France,46,2
FRO,Faroe Islands,62,-7
FSM,Micronesia. Federated States of,6.9167,158.25
GAB,Gabon,-1,11.75
GBR,United Kingdom,54,-2
GEO,Georgia,42,43.5
GGY,Guernsey,49.465691,-2.585278
GHA,Ghana,8,-2
GIB,Gibraltar,36.137741,-5.345374
GIN,Guinea,11,-10
GMB,Gambia,13.4667,-16.5667
GRC,Greece,39,22
GRD,Grenada,12.1167,-61.6667
GRL,Greenland,72,-40
GTM,Guatemala,15.5,-90.25
GUF,French Guiana,4,-53
GUM,Guam,13.4667,144.7833
GUY,Guyana,5,-59
HKG,Hong Kong,22.25,114.1667
HND,Honduras,15,-86.5
HRV,Croatia,45.1667,15.5
HTI,Haiti,19,-72.4167
HUN,Hungary,47,20
IDN,Indonesia,-5,120
IMN,Isle of Man,54.236107,-4.548056
IND,India,20,77
IRL,Ireland,53,-8
IRN,Iran. Islamic Republic of,32,53
IRQ,Iraq,33,44
ISL,Iceland,65,-18
ISR,Israel,31.5,34.75
ITA,Italy,42.8333,12.8333
JAM,Jamaica,18.25,-77.5
JEY,Jersey,49.214439,-2.13125
JOR,Jordan,31,36
JPN,Japan,36,138
KAZ,Kazakhstan,48,68
KEN,Kenya,1,38
KGZ,Kyrgyzstan,41,75
KHM,Cambodia,13,105
KIR,Kiribati,1.4167,173
KNA,Saint Kitts and Nevis,17.3333,-62.75
KOR,Korea. Republic of,37,127.5
KWT,Kuwait,29.3375,47.6581
LAO,Lao People's Democratic Republic,18,105
LBN,Lebanon,33.8333,35.8333
LBY,Libya,26.3351,17.228331
LIE,Liechtenstein,47.1667,9.5333
LKA,Sri Lanka,7,81
LTU,Lithuania,56,24
LUX,Luxembourg,49.75,6.1667
